Food;Height;Intellect;Life Exp;Strength;Weight; Carbohydrate; Fat; Protein; Calcium; Omega-3; Vitamin D; Bioregulator; Mitochondrial Amplifier; Nanite Nutrient
High-Fat;1;1;1;1;8;5;8;5;;;;;;
Mind Surge;1;6;6;1;1;1;2;10;;;;;;
Nutri-Core;3;3;3;3;3;3;3;3;;;;;;
Physique Fuel;5;1;1;5;1;2;2;4;;;;;;
Bone-Fortify;8;2;2;14;2;;;;10;2;3;;;
Endura-Growth;2;12;8;2;2;;;;3;4;4;;;
Immune Boost;6;6;6;6;6;3;1;2;3;3;3;;;
Muscle Fortification;2;2;2;15;8;;;;1;2;12;;;
Neuro-Boost;2;15;10;2;2;;;;3;10;3;;;
Hyper-Evolution;30;20;5;3;3;;;;;;;1;1;3
Mitochondrial Surge;20;3;12;28;3;;;;;;;2;2;2
Nanite Infusion;25;25;6;3;3;;1;;1;;;;;4
Ultimate Genesis;50;50;40;10;10;;;;;;;1;5;1
